Date,Open,High,Low,Close,Volume
2009.01.02,27.66,29.2,27.57,29.16,17321600
2009.01.05,28.96,30.3,28.56,29.84,26454800
2009.01.06,30.32,30.76,29.78,30.24,24254000
2009.01.07,29.48,29.7,28.68,29.06,20606100
2009.01.08,28.94,30.3,28.34,30.3,23999000
2009.01.09,30.06,30.87,29.84,30.18,18548600
2009.01.12,29.4,29.64,28.17,28.23,25552600
2009.01.13,27.75,29.31,27.48,28.46,25569300
2009.01.14,28.17,28.84,27.36,27.69,28355500
2009.01.15,27.75,28.64,26.76,28.64,33622200
2009.01.16,29.37,29.42,28.29,28.86,24634000
2009.01.19,28.92,29.07,28.11,28.32,12776500
2009.01.20,28.11,28.64,27.4,27.4,17539400
2009.01.21,27.58,28.83,27.58,28.83,21253600
2009.01.22,29.07,29.17,27.63,28.1,24899400
2009.01.23,27.33,28.72,27.02,28.04,24059400
2009.01.26,27.93,28.86,27.63,28.29,24486100
2009.01.27,28.29,28.64,28.11,28.4,18165100
2009.01.28,28.98,30.12,28.94,29.94,34169000
2009.01.29,29.56,30.0,29.37,29.74,15589500
2009.01.30,29.48,30.64,29.42,29.74,22026000
2009.02.02,29.17,29.92,29.13,29.34,18005800
2009.02.03,29.6,30.42,29.48,30.4,19850600
2009.02.04,30.75,31.56,30.38,30.54,33639500
2009.02.05,30.48,31.32,30.06,30.9,27091900
2009.02.06,31.26,32.43,30.98,32.2,30219700
2009.02.09,32.1,33.45,31.96,32.55,32278200
2009.02.10,33.03,33.45,31.96,32.14,32579800
2009.02.11,32.17,32.89,31.38,31.96,26154600
2009.02.12,31.6,32.36,30.99,31.83,22932600
2009.02.13,32.84,33.02,32.08,32.8,21869000
2009.02.16,32.56,33.18,32.33,33.18,15984500
2009.02.17,32.08,32.33,31.3,31.38,24653600
2009.02.18,31.76,32.04,30.34,30.76,29150400
2009.02.19,31.14,31.64,30.96,31.26,20646900
2009.02.20,30.36,30.99,29.98,30.63,24735200
2009.02.25,30.06,31.83,30.06,31.2,17005100
2009.02.26,31.84,32.44,31.52,31.52,22537100
2009.02.27,30.9,32.49,30.62,31.38,28758800
2009.03.02,30.84,31.2,29.6,29.73,27208200
2009.03.03,30.24,30.3,28.82,29.48,29979500
2009.03.04,30.78,31.64,30.48,31.34,38446300
2009.03.05,30.66,31.66,30.45,30.9,24513900
2009.03.06,31.2,31.95,29.62,30.51,32389300
2009.03.09,29.88,31.38,29.84,30.54,26654800
2009.03.10,31.34,32.33,31.1,32.17,34077900
2009.03.11,32.44,32.76,31.68,32.34,24904000
2009.03.12,32.42,32.86,31.88,32.74,30532900
2009.03.13,33.15,33.26,32.62,32.92,25021100
2009.03.16,33.11,33.22,32.01,32.31,30309700
2009.03.17,32.31,33.32,31.84,33.26,22126700
2009.03.18,32.82,33.94,32.4,33.63,26854900
2009.03.19,34.14,35.08,34.12,34.76,30308000
2009.03.20,34.76,35.91,34.18,34.58,27860800
2009.03.23,35.55,36.88,35.55,36.67,30287100
2009.03.24,36.3,36.63,35.61,36.06,24378500
2009.03.25,36.15,36.69,35.26,36.16,22363500
2009.03.26,36.66,36.9,35.78,36.09,22830400
2009.03.27,35.42,35.47,34.8,35.17,19079400
2009.03.30,34.29,34.36,33.7,34.2,16831700
2009.03.31,34.58,34.7,33.78,33.93,22566600
2009.04.01,33.39,34.94,33.21,34.94,25742600
2009.04.02,35.96,36.69,35.84,36.24,28245600
2009.04.03,36.12,36.4,35.56,36.12,23639000
2009.04.06,35.82,36.02,35.54,36.0,15653800
2009.04.07,35.54,36.15,35.49,35.61,19078400
2009.04.08,35.71,35.82,35.07,35.51,23116200
2009.04.09,36.67,37.16,36.34,37.08,25446700
2009.04.13,36.67,37.26,36.53,37.02,19702700
